year,player,mvp,team,wins,yards,td,cmp%,int,qbr,rush yards,rush td
2010,Philip Rivers,0,SDG,9,4710.0,30.0,66.0,13.0,66.9,52,0
2010,Peyton Manning,0,IND,10,4700.0,33.0,66.3,17.0,71.6,18,0
2010,Drew Brees,0,NOR,11,4620.0,33.0,68.1,22.0,70.8,-3,0
2010,Matt Schaub,0,HOU,6,4370.0,24.0,63.6,12.0,61.0,28,0
2010,Eli Manning,0,NYG,10,4002.0,31.0,62.9,25.0,57.7,70,0
2010,Carson Palmer,0,CIN,4,3970.0,26.0,61.8,20.0,55.1,50,0
2010,Aaron Rodgers,0,GNB,10,3922.0,28.0,65.7,11.0,69.6,356,4
2010,Tom Brady,1,NWE,14,3900.0,36.0,65.9,4.0,79.1,30,1
2010,Matt Ryan,0,ATL,13,3705.0,28.0,62.5,9.0,71.2,122,0
2010,Kyle Orton,0,DEN,3,3653.0,20.0,58.8,9.0,53.8,98,0
2010,Joe Flacco,0,BAL,12,3622.0,25.0,62.6,10.0,59.1,84,1
2010,Sam Bradford,0,STL,7,3512.0,18.0,60.0,15.0,46.9,63,1
2010,Josh Freeman,0,TAM,10,3451.0,25.0,61.4,6.0,69.5,364,0
2010,Donovan McNabb,0,WAS,5,3377.0,14.0,58.3,15.0,47.8,151,0
2010,Chad Henne,0,MIA,6,3301.0,15.0,61.4,19.0,45.7,52,0
2010,Mark Sanchez,0,NYJ,11,3291.0,17.0,54.8,13.0,51.3,105,3
2010,Jay Cutler,0,CHI,10,3274.0,23.0,60.4,16.0,51.4,232,1
2010,Ben Roethlisberger,0,PIT,9,3200.0,17.0,61.7,5.0,67.4,176,2
2010,Matt Cassel,0,KAN,10,3116.0,27.0,58.2,7.0,55.8,125,0
2010,Michael Vick,0,PHI,8,3018.0,21.0,62.6,6.0,65.0,676,9
2010,Matt Hasselbeck,0,SEA,6,3001.0,12.0,59.9,17.0,52.3,60,3
2010,Ryan Fitzpatrick,0,BUF,4,3000.0,23.0,57.8,15.0,52.3,269,0
2010,David Garrard,0,JAX,8,2734.0,23.0,64.5,15.0,63.1,279,5
2010,Shaun Hill,0,DET,3,2686.0,16.0,61.8,12.0,53.2,123,0
2010,Brett Favre,0,MIN,5,2509.0,11.0,60.6,19.0,38.4,8,0
2010,Jason Campbell,0,OAK,7,2387.0,13.0,59.0,8.0,48.8,222,1
2010,Alex Smith,0,SFO,3,2370.0,14.0,59.6,10.0,43.8,60,0
2010,Jon Kitna,0,DAL,4,2365.0,16.0,65.7,12.0,52.9,147,1
2010,Derek Anderson,0,ARI,2,2065.0,7.0,51.7,10.0,32.7,25,0
2010,Kerry Collins,0,TEN,2,1823.0,14.0,57.6,8.0,55.4,1,0
2010,Tony Romo,0,DAL,1,1605.0,11.0,69.5,7.0,66.4,38,0
2010,Colt McCoy,0,CLE,2,1576.0,6.0,60.8,9.0,52.8,136,1
